Reference,Subfamily,Population,Lat,Long,Habitat,Location,N_Temps,T_C,T_K,Birth_Rate,Birth_Source,Fecundity,Fec_Source,Development,Dev_Source,Juv_Mortality,Jmort_Source,Survivorship,Surv_Source,Juv_Duration,Juv_Stages,Juv_Source,Gen_Time,Gen_Source,Adult_Mortality,Amort_Source,Adult_Longevity,Long_Source,R0,R0_Source,r_m,r_m_Source,Notes,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,15,288,,,,,0,Figure 2a,,,0,Figure 2b,,,,,,,,,,,,,,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,18,291,0.066,Calculated,7.3,Figure 5b,0.014,Figure 2a,0.056,Calculated,0.02,Table 4,69.36,Egg_to_Adult,Table 2,83.43,Table 4,0.009,Figure 5c,111.11,Calculated,0.10,Table 4,-0.0276,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,20,293,0.582,Calculated,14.0,Figure 5b,0.019,Figure 2a,0.008,Calculated,0.67,Table 4,52.4,Egg_to_Adult,Table 2,79.69,Table 4,0.042,Figure 5c,24.00,Calculated,5.53,Table 4,0.0215,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,23,296,4.028,Calculated,201.4,Figure 5b,0.032,Figure 2a,0.024,Calculated,0.47,Table 4,31.22,Egg_to_Adult,Table 2,52.78,Table 4,0.020,Figure 5c,50.00,Calculated,46.69,Table 4,0.0728,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,25,298,8.428,Calculated,317.7,Figure 5b,0.037,Figure 2a,0.013,Calculated,0.71,Table 4,26.67,Egg_to_Adult,Table 2,45.27,Table 4,0.027,Figure 5c,37.70,Calculated,128.08,Table 4,0.1072,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,28,301,6.445,Calculated,214.8,Figure 5b,0.043,Figure 2a,0.020,Calculated,0.63,Table 4,23.24,Egg_to_Adult,Table 2,39.75,Table 4,0.030,Figure 5c,33.33,Calculated,68.30,Table 4,0.1063,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,30,303,9.442,Calculated,263.4,Figure 5b,0.050,Figure 2a,0.012,Calculated,0.79,Table 4,19.92,Egg_to_Adult,Table 2,31.85,Table 4,0.036,Figure 5c,27.90,Calculated,101.63,Table 4,0.1451,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,32,305,3.300,Calculated,73.3,Figure 5b,0.058,Figure 2a,0.080,Calculated,0.25,Table 4,17.13,Egg_to_Adult,Table 2,29.13,Table 4,0.045,Figure 5c,22.22,Calculated,7.48,Table 4,0.0691,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,34,307,1.573,Calculated,18.7,Figure 5b,0.064,Figure 2a,0.171,Calculated,0.07,Table 4,15.73,Egg_to_Adult,Table 2,26.25,Table 4,0.084,Figure 5c,11.90,Calculated,0.74,Table 4,-0.0115,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,36,309,,,,,0,Figure 2a,,,0,Figure 2b,,,,,,,,,,,,,,,
