Reference,Subfamily,Species,Lat,Long,Habitat,Location,N_Temps,T_C,T_K,Birth_Rate,Source,Fecundity,Source,Development,Source,Juv_Mortality,Source,Survivorship,Stages,Source,Juv_Duration,Stages,Source,Gen_Time,Stages,Source,Adult_Mortality,Source,Adult_Duration,Sex,Source,R0,Source,r,Source,Notes,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,18,291,0.066,Calculated,7.295,Figure 5b,0.014,Calculated,0.030,data_trop.R,0.02,Egg_to_Adult,Table 4,69.36,Egg_to_Adult,Table 2,83.43,Egg_to_Repro,Table 4,0.009,Figure 5c,111.11,Female,Calculated,0.10,Table 4,-0.0276,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,20,293,0.582,Calculated,13.975,Figure 5b,0.019,Calculated,0.015,data_trop.R,0.67,Egg_to_Adult,Table 4,52.4,Egg_to_Adult,Table 2,79.69,Egg_to_Repro,Table 4,0.042,Figure 5c,24.00,Female,Calculated,5.53,Table 4,0.0215,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,23,296,4.028,Calculated,201.396,Figure 5b,0.032,Calculated,0.023,data_trop.R,0.47,Egg_to_Adult,Table 4,31.22,Egg_to_Adult,Table 2,52.78,Egg_to_Repro,Table 4,0.020,Figure 5c,50.00,Female,Calculated,46.69,Table 4,0.0728,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,25,298,8.428,Calculated,317.734,Figure 5b,0.037,Calculated,0.013,data_trop.R,0.71,Egg_to_Adult,Table 4,26.67,Egg_to_Adult,Table 2,45.27,Egg_to_Repro,Table 4,0.027,Figure 5c,37.70,Female,Calculated,128.08,Table 4,0.1072,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,28,301,6.445,Calculated,214.836,Figure 5b,0.043,Calculated,0.019,data_trop.R,0.63,Egg_to_Adult,Table 4,23.24,Egg_to_Adult,Table 2,39.75,Egg_to_Repro,Table 4,0.030,Figure 5c,33.33,Female,Calculated,68.30,Table 4,0.1063,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,30,303,9.442,Calculated,263.441,Figure 5b,0.050,Calculated,0.012,data_trop.R,0.79,Egg_to_Adult,Table 4,19.92,Egg_to_Adult,Table 2,31.85,Egg_to_Repro,Table 4,0.036,Figure 5c,27.90,Female,Calculated,101.63,Table 4,0.1451,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,32,305,3.300,Calculated,73.341,Figure 5b,0.058,Calculated,0.075,data_trop.R,0.25,Egg_to_Adult,Table 4,17.13,Egg_to_Adult,Table 2,29.13,Egg_to_Repro,Table 4,0.045,Figure 5c,22.22,Female,Calculated,7.48,Table 4,0.0691,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,34,307,1.573,Calculated,18.717,Figure 5b,0,Figure 2,0.144,data_trop.R,0.07,Egg_to_Adult,Table 4,15.73,Egg_to_Adult,Table 2,26.25,Egg_to_Repro,Table 4,0.084,Figure 5c,11.90,Female,Calculated,0.74,Table 4,-0.0115,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,18,291,0.096,Calculated,3.380,Figure 4b,0.019,Calculated,0.033,Calculated,0.166,Egg_to_Adult,Table 1,53.72,Egg_to_Adult,Table 1,88.9,Egg_to_Repro,Table 4,0.028,Calculated,35.18,Female,Calculated,0.40,Table 4,-0.0103,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,20,293,0.489,Calculated,9.105,Figure 4b,0.029,Calculated,0.023,Calculated,0.458,Egg_to_Adult,Table 1,34.7,Egg_to_Adult,Table 1,53.9,Egg_to_Repro,Table 4,0.054,Figure 4c,18.63,Female,Calculated,1.73,Table 4,0.0102,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,23,296,3.277,Calculated,123.436,Figure 4b,0.035,Calculated,0.008,Calculated,0.795,Egg_to_Adult,Table 1,28.76,Egg_to_Adult,Table 1,47.5,Egg_to_Repro,Table 4,0.027,Figure 4c,37.67,Female,Calculated,52.84,Table 4,0.0835,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,25,298,3.430,Calculated,46.875,Figure 4b,0.041,Calculated,0.023,Calculated,0.568,Egg_to_Adult,Table 1,24.32,Egg_to_Adult,Table 1,35.1,Egg_to_Repro,Table 4,0.073,Figure 4c,13.67,Female,Calculated,14.04,Table 4,0.0753,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,30,303,7.154,Calculated,131.570,Figure 4b,0.068,Calculated,0.023,Calculated,0.716,Egg_to_Adult,Table 1,14.72,Egg_to_Adult,Table 1,24.3,Egg_to_Repro,Table 4,0.054,Figure 4c,18.39,Female,Calculated,39.96,Table 4,0.1518,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,34,307,2.964,Calculated,22.800,Figure 4b,0.090,Calculated,0.089,Calculated,0.371,Egg_to_Adult,Table 1,11.17,Egg_to_Adult,Table 1,19.7,Egg_to_Repro,Table 4,0.130,Figure 4c,7.69,Female,Calculated,8.78,Table 4,0.1103,Calculated,,
