Reference,Population,Location,Lat,Long,Habitat,Subfamily,T_C,T_K,Birth_Rate,Birth_Source,Dev_Rate,Dev_Source,Juv_Mortality,Jmort_Source,Survival,Surv_Source,Adult_Mortality,Amort_Source,Adult_Longevity,Long_Source,R0,R0_Source,r_m,r_m_Source
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,15,288,,,0,Figure 2a,,,0,Figure 2b,,,,,,,,
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,18,291,0.066,Calculated,0.014,Figure 2a,0.056,Calculated,0.02,Table 4,0.009,Figure 5c,111.11,Calculated,0.1,Table 4,-0.0276,Calculated
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,20,293,0.582,Calculated,0.019,Figure 2a,0.008,Calculated,0.67,Table 4,0.042,Figure 5c,24,Calculated,5.53,Table 4,0.0215,Calculated
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,23,296,4.028,Calculated,0.032,Figure 2a,0.024,Calculated,0.47,Table 4,0.02,Figure 5c,50,Calculated,46.69,Table 4,0.0728,Calculated
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,25,298,8.428,Calculated,0.037,Figure 2a,0.013,Calculated,0.71,Table 4,0.027,Figure 5c,37.7,Calculated,128.08,Table 4,0.1072,Calculated
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,28,301,6.445,Calculated,0.043,Figure 2a,0.02,Calculated,0.63,Table 4,0.03,Figure 5c,33.33,Calculated,68.3,Table 4,0.1063,Calculated
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,30,303,9.442,Calculated,0.05,Figure 2a,0.012,Calculated,0.79,Table 4,0.036,Figure 5c,27.9,Calculated,101.63,Table 4,0.1451,Calculated
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,32,305,3.3,Calculated,0.058,Figure 2a,0.08,Calculated,0.25,Table 4,0.045,Figure 5c,22.22,Calculated,7.48,Table 4,0.0691,Calculated
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,34,307,1.573,Calculated,0.064,Figure 2a,0.171,Calculated,0.07,Table 4,0.084,Figure 5c,11.9,Calculated,0.74,Table 4,-0.0115,Calculated
Dreyer & Baumgartner 1996,Clavigralla shadabi Benin,Benin,6.45,2.35,Tropical,Heteroptera,36,309,,,0,Figure 2a,,,0,Figure 2b,,,,,,,,
Dreyer & Baumgartner 1996,Clavigralla tomentosicollis Benin,Benin,6.45,2.35,Tropical,Heteroptera,18,291,,,0.019,Calculated,0.033,Calculated,0.166,Table 1,,,,,0.4,Table 4,-0.0103,Calculated
Dreyer & Baumgartner 1996,Clavigralla tomentosicollis Benin,Benin,6.45,2.35,Tropical,Heteroptera,20,293,0.499,Calculated,0.029,Calculated,0.023,Calculated,0.458,Table 1,0.054,Figure 4c,18.63,Calculated,1.73,Table 4,0.0102,Calculated
Dreyer & Baumgartner 1996,Clavigralla tomentosicollis Benin,Benin,6.45,2.35,Tropical,Heteroptera,23,296,,,0.035,Calculated,0.008,Calculated,0.795,Table 1,0.027,Figure 4c,37.67,Calculated,52.84,Table 4,0.0835,Calculated
Dreyer & Baumgartner 1996,Clavigralla tomentosicollis Benin,Benin,6.45,2.35,Tropical,Heteroptera,25,298,3.49,Calculated,0.041,Calculated,0.023,Calculated,0.568,Table 1,0.073,Figure 4c,13.67,Calculated,14.04,Table 4,0.0753,Calculated
Dreyer & Baumgartner 1996,Clavigralla tomentosicollis Benin,Benin,6.45,2.35,Tropical,Heteroptera,30,303,7.189,Calculated,0.068,Calculated,0.023,Calculated,0.716,Table 1,0.054,Figure 4c,18.39,Calculated,39.96,Table 4,0.1518,Calculated
Dreyer & Baumgartner 1996,Clavigralla tomentosicollis Benin,Benin,6.45,2.35,Tropical,Heteroptera,34,307,3.159,Calculated,0.09,Calculated,0.089,Calculated,0.371,Table 1,0.13,Figure 4c,7.69,Calculated,8.78,Table 4,0.1103,Calculated
Dreyer & Baumgartner 1996,Clavigralla tomentosicollis Benin,Benin,6.45,2.35,Tropical,Heteroptera,36,309,,,0.088,Calculated,0.061,Calculated,0.498,Table 1,0.095,Figure 4c,10.51,Calculated,14.84,Table 4,0.142,Calculated
Dreyer & Baumgartner 1996,Clavigralla tomentosicollis Benin,Benin,6.45,2.35,Tropical,Heteroptera,40,313,0,Calculated,0,Figure 1,,,0,In text,,,,,0,In text,0,Calculated
Dabire et al. 2005,Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,-1.5,Tropical,Heteroptera,24,297,,,0.026,Calculated,0.036,Calculated,0.245,"Figures 1,2",,,,,,,,
Dabire et al. 2005,Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,-1.5,Tropical,Heteroptera,25,298,3.321,Calculated,0.038,Calculated,0.026,Calculated,0.507,"Figures 1,2",0.021,Calculated,47.69,Table 3,94.28,Calculated,0.11,Calculated
Dabire et al. 2005,Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,-1.5,Tropical,Heteroptera,27,300,,,0.045,Calculated,0.026,Calculated,0.565,"Figures 1,2",,,,,,,,
Dabire et al. 2005,Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,-1.5,Tropical,Heteroptera,30,303,5.574,Calculated,0.063,Calculated,0.007,Calculated,0.892,"Figures 1,2",0.026,Calculated,39.12,Table 3,195.66,Calculated,0.2528,Calculated
Dabire et al. 2005,Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,-1.5,Tropical,Heteroptera,35,308,2.385,Calculated,0.086,Calculated,0.033,Calculated,0.679,"Figures 1,2",0.042,Calculated,23.71,Table 3,40.78,Calculated,0.1772,Calculated
Dabire et al. 2005,Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,-1.5,Tropical,Heteroptera,38,311,,,0.101,Calculated,0.078,Calculated,0.465,"Figures 1,2",,,,,,,,
Dabire et al. 2005,Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,-1.5,Tropical,Heteroptera,40,313,1.748,Calculated,0.144,Calculated,0.154,Calculated,0.342,"Figures 1,2",0.041,Calculated,24.6,Table 3,20.75,Calculated,0.2153,Calculated
Dabire et al. 2005,Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,-1.5,Tropical,Heteroptera,41,314,,,0,"Figures 1,2",,,0.023,"Figures 1,2",,,,,,,,
Dabire et al. 2005,Clavigralla tomentosicollis Burkina Faso,Burkina Faso,12.38,-1.5,Tropical,Heteroptera,42,315,,,0,"Figures 1,2",,,0.005,"Figures 1,2",,,,,,,,
Lu et al. 2010,Apolygus lucorum China Langfang,China Langfang,33.33,120.75,Temperate,Heteroptera,10,283,0.492,Calculated,,,,,,,0.018,Calculated,56.9,Table 3,,,,
Lu et al. 2010,Apolygus lucorum China Langfang,China Langfang,33.33,120.75,Temperate,Heteroptera,15,288,1.189,Calculated,0.024,Calculated,0.037,Calculated,0.216,Table 3,0.021,Calculated,47.7,Table 3,22.4,Calculated,0.0563,Calculated
Lu et al. 2010,Apolygus lucorum China Langfang,China Langfang,33.33,120.75,Temperate,Heteroptera,20,293,2.1,Calculated,0.038,Calculated,0.043,Calculated,0.322,Table 3,0.025,Calculated,40.2,Table 3,39.56,Calculated,0.1013,Calculated
Lu et al. 2010,Apolygus lucorum China Langfang,China Langfang,33.33,120.75,Temperate,Heteroptera,25,298,2.384,Calculated,0.05,Calculated,0.052,Calculated,0.353,Table 3,0.029,Calculated,34.1,Table 3,39.85,Calculated,0.1298,Calculated
Lu et al. 2010,Apolygus lucorum China Langfang,China Langfang,33.33,120.75,Temperate,Heteroptera,30,303,2.887,Calculated,0.059,Calculated,0.039,Calculated,0.518,Table 3,0.039,Calculated,25.6,Table 3,44.57,Calculated,0.1609,Calculated
Lu et al. 2010,Apolygus lucorum China Langfang,China Langfang,33.33,120.75,Temperate,Heteroptera,35,308,1.101,Calculated,0.057,Calculated,0.172,Calculated,0.05,Table 3,0.05,Calculated,19.9,Table 3,5.47,Calculated,0.07,Calculated
Lu et al. 2009,Adelphocoris suturalis China Xinxiang,China Xinxiang,35.53,114.42,Temperate,Heteroptera,10,283,0.385,Calculated,,,,,,,0.016,Calculated,61.5,Table 3,,,,
Lu et al. 2009,Adelphocoris suturalis China Xinxiang,China Xinxiang,35.53,114.42,Temperate,Heteroptera,15,288,0.781,Calculated,0.016,Calculated,0.025,Calculated,0.22,Figure 2,0.018,Calculated,56.6,Table 3,17.58,Calculated,0.0244,Calculated
Lu et al. 2009,Adelphocoris suturalis China Xinxiang,China Xinxiang,35.53,114.42,Temperate,Heteroptera,20,293,2.013,Calculated,0.03,Calculated,0.024,Calculated,0.46,Figure 2,0.029,Calculated,34.9,Table 3,39.55,Calculated,0.0543,Calculated
Lu et al. 2009,Adelphocoris suturalis China Xinxiang,China Xinxiang,35.53,114.42,Temperate,Heteroptera,25,298,2.824,Calculated,0.04,Calculated,0.02,Calculated,0.61,Figure 2,0.041,Calculated,24.6,Table 3,46.49,Calculated,0.0779,Calculated
Lu et al. 2009,Adelphocoris suturalis China Xinxiang,China Xinxiang,35.53,114.42,Temperate,Heteroptera,30,303,2.487,Calculated,0.05,Calculated,0.043,Calculated,0.42,Figure 2,0.05,Calculated,20,Table 3,26.63,Calculated,0.0816,Calculated
Lu et al. 2009,Adelphocoris suturalis China Xinxiang,China Xinxiang,35.53,114.42,Temperate,Heteroptera,35,308,2.225,Calculated,0.045,Calculated,0.095,Calculated,0.12,Figure 2,0.067,Calculated,14.9,Table 3,10.63,Calculated,0.0634,Calculated
Lu et al. 2009,Adelphocoris fasciatiocollis China Tianjin,China Tianjin,38.55,117.38,Temperate,Heteroptera,10,283,0.416,Calculated,,,,,,,0.023,Calculated,43.5,Table 3,,,,
Lu et al. 2009,Adelphocoris fasciatiocollis China Tianjin,China Tianjin,38.55,117.38,Temperate,Heteroptera,15,288,0.966,Calculated,0.019,Calculated,0.029,Calculated,0.22,Figure 2,0.026,Calculated,38,Table 3,14.6,Calculated,0.0297,Calculated
Lu et al. 2009,Adelphocoris fasciatiocollis China Tianjin,China Tianjin,38.55,117.38,Temperate,Heteroptera,20,293,1.455,Calculated,0.027,Calculated,0.031,Calculated,0.31,Figure 2,0.027,Calculated,36.9,Table 3,24.74,Calculated,0.0432,Calculated
Lu et al. 2009,Adelphocoris fasciatiocollis China Tianjin,China Tianjin,38.55,117.38,Temperate,Heteroptera,25,298,2.166,Calculated,0.038,Calculated,0.03,Calculated,0.45,Figure 2,0.032,Calculated,30.8,Table 3,37.09,Calculated,0.0633,Calculated
Lu et al. 2009,Adelphocoris fasciatiocollis China Tianjin,China Tianjin,38.55,117.38,Temperate,Heteroptera,30,303,1.558,Calculated,0.047,Calculated,0.039,Calculated,0.43,Figure 2,0.033,Calculated,30.1,Table 3,25.44,Calculated,0.0628,Calculated
Lu et al. 2009,Adelphocoris fasciatiocollis China Tianjin,China Tianjin,38.55,117.38,Temperate,Heteroptera,35,308,1.557,Calculated,0.047,Calculated,0.112,Calculated,0.09,Figure 2,0.059,Calculated,16.9,Table 3,7.72,Calculated,0.0532,Calculated
Lu et al. 2009,Adelphocoris lineolatus China Langfang,China Langfang,39.88,117.17,Temperate,Heteroptera,10,283,0.349,Calculated,,,,,,,0.018,Calculated,56.6,Table 3,,,,
Lu et al. 2009,Adelphocoris lineolatus China Langfang,China Langfang,39.88,117.17,Temperate,Heteroptera,15,288,1.35,Calculated,0.014,Calculated,0.022,Calculated,0.22,Figure 2,0.02,Calculated,49.7,Table 3,26.69,Calculated,0.0274,Calculated
Lu et al. 2009,Adelphocoris lineolatus China Langfang,China Langfang,39.88,117.17,Temperate,Heteroptera,20,293,3.14,Calculated,0.028,Calculated,0.028,Calculated,0.36,Figure 2,0.038,Calculated,26.4,Table 3,41,Calculated,0.0594,Calculated
Lu et al. 2009,Adelphocoris lineolatus China Langfang,China Langfang,39.88,117.17,Temperate,Heteroptera,25,298,4.025,Calculated,0.036,Calculated,0.023,Calculated,0.53,Figure 2,0.039,Calculated,25.5,Table 3,62.78,Calculated,0.078,Calculated
Lu et al. 2009,Adelphocoris lineolatus China Langfang,China Langfang,39.88,117.17,Temperate,Heteroptera,30,303,4.612,Calculated,0.047,Calculated,0.039,Calculated,0.43,Figure 2,0.05,Calculated,20.2,Table 3,50.52,Calculated,0.0943,Calculated
Lu et al. 2009,Adelphocoris lineolatus China Langfang,China Langfang,39.88,117.17,Temperate,Heteroptera,35,308,3.148,Calculated,0.046,Calculated,0.128,Calculated,0.06,Figure 2,0.065,Calculated,15.3,Table 3,12.63,Calculated,0.0682,Calculated
De Conti et al. 2010,Macrosiphum euphorbiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,16,289,3.854,Calculated,0.337,Calculated,0.075,Calculated,0.8,Figure 6,0.047,Calculated,21.08,Figure 2,66.91,Table 1,0.189,Table 1
De Conti et al. 2010,Macrosiphum euphorbiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,19,292,3.743,Calculated,0.497,Calculated,0.093,Calculated,0.83,Figure 6,0.062,Calculated,16.11,Figure 2,50.11,Table 1,0.213,Table 1
De Conti et al. 2010,Macrosiphum euphorbiae Brazil,Brazil,-21.23,-44.98,Tropical,Sternorrhyncha,22,295,4.769,Calculated,0.452,Calculated,0.084,Calculated,0.83,Figure 6,0.081,Calculated,12.32,Figure 2,50.23,Table 1,0.282,Table 1
